category,value,count
total,all,2190
chunk_config,fixed_256,2190
company,Amazon,232
company,Apple,220
company,Google,275
company,Meta,424
company,Microsoft,257
company,NVIDIA,405
company,Tesla,377
section,Mixed,2190
source_type,fixed,2190
non_retrievable_reason,exhibit_list,1
non_retrievable_reason,forward_looking_boilerplate,9
non_retrievable_reason,header_footer,104
non_retrievable_reason,table_of_contents,520
non_retrievable_reason,unknown,1556
retrievable,False,634
retrievable,True,1556
average_token_count,all,255.70
