category,value,count
total,all,1096
chunk_config,fixed_512,1096
company,Amazon,116
company,Apple,110
company,Google,138
company,Meta,212
company,Microsoft,129
company,NVIDIA,202
company,Tesla,189
section,Mixed,1096
source_type,fixed,1096
non_retrievable_reason,exhibit_list,1
non_retrievable_reason,forward_looking_boilerplate,2
non_retrievable_reason,header_footer,84
non_retrievable_reason,table_of_contents,473
non_retrievable_reason,unknown,536
retrievable,False,560
retrievable,True,536
average_token_count,all,510.64
