question_id,system,failure_type,exact_match,token_f1,numeric_accuracy,answer_coverage_at_3,noise_reason
AAPL_2025_TEXT_FACT_4011dcad,baseline_gpt,retrieval_noise,False,0.0,,,none
AAPL_2025_TEXT_FACT_4011dcad,rag_gpt_tfidf_top3,generator_hallucination,False,0.0,,True,none
AAPL_2025_TEXT_FACT_4011dcad,oracle_gpt,retrieval_noise,False,0.0,,True,none
AAPL_2025_TEXT_FACT_4011dcad,random_context_gpt,retrieval_noise,False,0.0,,False,none
TSLA_2025_TEXT_FACT_9f822d5c,baseline_gpt,wrong_section,False,0.0,,,wrong_section
TSLA_2025_TEXT_FACT_9f822d5c,rag_gpt_tfidf_top3,wrong_section,False,0.0,,False,wrong_section
TSLA_2025_TEXT_FACT_9f822d5c,oracle_gpt,wrong_section,False,0.0,,True,wrong_section
TSLA_2025_TEXT_FACT_9f822d5c,random_context_gpt,wrong_section,False,0.0,,False,wrong_section
AAPL_2025_EXPLANATION_ac3df4d4,baseline_gpt,wrong_section,False,0.0,,,wrong_section
AAPL_2025_EXPLANATION_ac3df4d4,rag_gpt_tfidf_top3,wrong_section,False,0.0,,False,wrong_section
AAPL_2025_EXPLANATION_ac3df4d4,oracle_gpt,wrong_section,False,0.0,,True,wrong_section
AAPL_2025_EXPLANATION_ac3df4d4,random_context_gpt,wrong_section,False,0.0,,False,wrong_section
